CHM-LSTM-EMD-Freq,LSTM-EMD,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq,LSTM-EMD-Freq

16.272923,17.722803,17.774591,17.691727,17.82118,17.759407,15.289721,17.401546,16.344938,17.407661

15.654692,17.51709,17.684,17.714289,17.95899,17.831282,13.556369,17.29315,17.03725,17.550262

14.717975,17.816002,17.623997,17.532047,17.92777,17.882685,14.285913,17.756456,17.417395,17.582737

14.379681,17.46898,17.69446,17.545258,17.87953,17.821276,13.188025,17.645998,17.095133,17.58593

14.838225,18.074793,17.282442,17.318691,17.632547,17.792677,14.825572,18.067852,17.502792,17.788704

14.085708,18.191551,17.193306,17.309996,17.199318,17.569134,15.615211,17.807365,17.44742,17.67313

15.442843,17.984678,17.011972,17.200268,17.082111,17.338963,15.121913,17.448414,16.927563,17.63601

12.771624,18.072552,17.1582,17.312567,17.125948,17.331554,15.643219,16.926746,16.760216,17.596645

14.792993,18.296713,17.328596,17.516855,17.291887,17.4828,15.693996,17.546711,16.42238,17.464966

14.582803,18.08946,17.166115,17.377995,17.457182,17.678167,13.011637,17.888777,17.026516,17.537148

16.245058,18.313536,17.181519,17.300713,17.473587,17.809778,14.099574,17.971207,17.128073,17.485598

15.247737,18.191359,17.17524,17.26024,17.44533,17.840376,11.458846,17.784527,16.948345,17.523039

13.778722,18.170927,17.194084,17.144958,17.490715,17.820604,13.676741,17.435795,17.018818,17.47506

13.259334,18.246166,17.27156,17.141724,17.53129,17.884577,13.697627,18.278917,17.197222,17.519424

15.462365,18.268705,17.273916,17.145739,17.561811,17.932976,16.020811,18.035448,16.940298,17.584152

15.072895,18.106369,17.285242,16.991726,17.563847,18.076273,14.265907,18.145323,17.06691,17.643965

14.384878,18.262112,17.337122,17.079662,17.431683,18.157516,12.265265,18.186165,16.68557,17.67962

14.052704,17.749357,17.113623,16.98853,17.416252,18.039534,13.324664,18.235271,16.69281,17.67312

14.673268,17.971563,17.090452,16.92411,17.458635,18.059078,15.629927,18.32931,16.147709,17.620628

