LSTM-EMD,CHM-LSTM-EMD-Freq,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq
12.287315,11.940043,12.330671,12.303666,12.350202,12.514421,11.336192,12.533006,12.373154
12.766679,12.036908,12.274979,12.2691,12.318869,12.511776,12.258948,12.489559,11.930877
13.121833,11.923531,12.327355,12.337946,12.226951,12.472763,13.6261425,12.276921,12.32127
12.636229,12.344942,12.414348,12.413849,12.23059,12.564933,14.454312,12.8133135,12.177819
12.470723,12.446982,12.356624,12.570191,12.107418,12.568189,9.111007,12.338139,11.963187
12.648471,12.490628,12.293601,12.555383,12.044927,12.62717,13.601701,12.133584,12.3336315
12.72217,12.26444,12.356004,12.568099,12.1733055,12.717239,10.4313965,11.723413,11.784036
13.035231,12.136158,12.537494,12.399938,12.227479,12.833674,14.277748,12.191914,11.610088
12.5296335,12.33465,12.505492,12.097848,12.197799,12.872833,10.711398,12.256692,11.3034115
12.602514,11.462057,12.0378685,11.847865,12.040318,12.584174,10.876719,12.502915,11.506209
12.92281,11.885972,11.981073,11.527675,12.028236,12.471819,11.8630085,12.700293,11.588894
11.659374,11.708103,11.834746,11.418648,11.924122,12.47243,11.97563,13.18224,11.983615
11.5329895,11.899768,12.10191,11.27873,11.988541,12.653682,11.927847,11.82884,11.1896925
12.175655,11.595745,11.817701,11.241731,11.870498,12.299196,13.76864,11.390702,11.152419
11.813127,11.804267,11.39513,11.073927,11.891751,12.25183,12.013299,12.677821,10.771876
12.431453,11.724289,11.4877615,11.403134,11.953185,12.822769,13.99041,11.862926,11.168524
12.223827,11.6155615,11.186796,11.645879,11.826887,12.366985,10.540986,12.3218775,11.844138
11.682646,11.405354,11.184268,11.881566,11.754861,12.041231,13.364529,11.899347,11.440389
11.581568,11.537588,11.127631,11.689826,11.587679,11.588549,10.601512,11.572649,11.054839
10.19999,11.41959,11.682804,12.143295,11.866803,11.621973,9.476779,11.582854,11.268987
11.663748,11.927649,11.760447,12.201997,11.820639,11.603725,9.552442,11.91154,11.238329
12.088417,11.719206,11.665267,11.912806,11.980624,11.471291,8.738991,12.035906,11.465649
12.421049,11.637829,11.890749,12.077038,12.139928,11.604643,11.20299,12.175192,11.483265
12.226922,11.296899,11.732043,12.104639,11.975084,11.426299,8.85994,12.734418,11.524605
12.319355,11.641413,11.928762,12.016194,11.9131975,11.356532,8.680727,12.080502,11.595094
12.65881,11.2281475,12.087946,12.10991,11.821071,11.156346,11.12116,12.268118,11.866136
12.76037,11.571382,12.05908,11.849556,11.704288,10.963508,9.483685,11.8551235,12.111466
12.210242,11.747552,11.969945,11.772465,11.67486,10.872061,11.692096,12.2145815,12.324847
12.191962,11.728451,12.2260685,11.964575,11.894185,10.943788,12.510267,12.034992,11.964915
12.3386135,10.840455,12.344585,12.014126,11.944567,11.029769,11.169008,11.804877,12.112596
