LSTM-EMD,CHM-LSTM-EMD-Freq,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq
4.7462096,3.1048632,2.418744,1.7188388,2.2257693,-0.34325442,5.206715,2.8388143,2.1699665
5.6522937,2.5072033,2.4587922,1.648327,2.2915766,-0.084405035,-1.5222315,2.826305,2.5109115
5.1891766,2.8511791,2.5091877,1.8453833,2.231524,-0.021904673,3.4694443,3.0468347,1.7613757
4.714484,3.2107484,2.6210558,1.998141,2.101366,-0.002321647,4.3504124,3.0301695,2.1033535
5.419022,2.8481479,2.3925958,1.7877179,2.0695553,-0.22228882,2.8022175,3.387999,2.7860181
4.7608047,2.1435943,2.494651,1.8974273,2.0201468,-0.10366161,1.0097227,3.1874201,2.0279474
5.380022,2.2649815,2.6104267,1.8260622,1.976435,0.25059533,4.416317,2.8210385,1.5914714
4.670106,3.2658937,2.6317923,1.5244906,1.9994788,0.67610824,1.0777708,3.6025033,0.93399924
5.3975673,2.2430077,2.7323842,1.7305586,2.0018997,1.265117,0.50466424,3.3906212,2.148454
4.5679307,2.5344164,2.405095,1.6727633,1.9119687,1.3301457,0.9631622,3.3857234,1.7337449
3.9781203,3.3733616,2.2874632,1.4518967,1.7474015,1.9483948,2.9721532,4.292957,0.9939677
3.634314,2.9283268,2.842048,2.2871537,1.840691,1.5493749,1.4535626,3.9502945,2.335953
3.1754556,3.19934,2.7010224,2.7710366,2.0105722,1.9846755,-0.12052708,2.2544389,3.0395296
4.652981,2.6494892,2.474102,3.0862832,2.1231737,2.3212593,1.7009187,2.225392,2.9481308
3.4273798,3.061399,2.1903124,3.2886026,2.1741095,1.9077345,3.3581097,2.0470593,2.454187
2.9835474,2.612407,2.1876855,3.1750708,2.2722833,2.1668444,-0.57001936,1.8183239,2.1201217
3.1089184,2.96377,2.5308247,3.4478412,2.3220892,2.3824615,0.9089778,2.223468,2.7992837
3.4485922,3.0036209,2.292377,3.0834432,2.3307633,1.933776,2.0429718,1.3594986,1.0811383
3.076057,3.020824,2.1594102,3.2501159,2.450274,3.0588164,1.8503944,1.1685987,2.496665
4.343845,2.7631857,2.298283,3.9296083,2.5706778,2.6657593,6.406665,2.0694392,2.042983
4.4428043,2.9394188,2.2057939,3.8287804,2.523989,2.7873018,2.4665504,1.7611794,1.2536322
4.2687507,3.7534559,2.1439703,3.6279526,2.3681564,2.8184063,4.616576,1.2248341,1.2642574
4.6952243,3.3061416,2.175109,3.6848245,2.341941,2.5075562,0.5909948,2.1682785,1.332621
4.548805,2.7690606,2.225021,3.2497802,2.4044263,2.256608,1.0535724,1.691004,1.4435173
4.9191914,3.6179624,2.1292143,3.12199,2.2969325,1.6128446,0.07359728,1.8644043,1.6212866
4.4115076,3.4282813,2.2354949,2.7871351,2.3305333,1.2364732,2.0294962,2.408575,2.1537368
4.791375,4.6086264,2.3144848,2.3230739,2.3500106,1.2581521,0.31945217,2.0030413,2.0316598
5.1201835,4.272751,2.3401124,1.7529777,2.3217616,0.8919161,-0.74878734,2.2078192,2.29968
5.0641265,3.4999065,2.3586364,1.6996152,2.360685,0.51958764,5.212502,2.720418,2.2965415
4.81879,3.6492743,2.4025135,1.8138369,2.4356701,0.55486065,2.9450676,2.6315446,2.7391324
4.7085156,2.2144763,2.5176945,1.6256875,2.4913096,0.7325658,4.784089,2.3986518,2.6087348
5.2172704,4.299515,2.5129454,1.8138107,2.6473236,0.8774065,5.1134877,2.459646,2.7377937
5.1656976,3.696328,2.488529,1.5105187,2.6814423,0.8503934,1.9420654,1.9173158,1.8574498
5.33299,2.4691818,2.5186439,1.2427077,2.8024635,0.6066391,1.6543653,1.977293,1.9889649
4.739916,1.4972582,2.6213276,1.240367,2.9422688,0.56834644,2.913594,1.8306838,1.8750118
5.1658764,2.666742,2.544481,1.1749022,3.0546334,0.3883368,1.4164667,1.9084371,2.146601
5.147504,2.4331625,2.3896496,1.1751139,3.0521617,0.5197453,1.8655952,1.9707445,2.6469562
5.00633,2.528425,2.3878706,1.2477866,3.1321955,0.6409223,4.1952114,2.8883805,3.0864136
5.4773993,2.518227,2.421776,1.2580478,3.2939067,0.8644771,3.6863682,1.621799,2.8847053
4.1988435,3.6671813,2.555275,1.4917718,3.2699685,1.1627605,2.9935322,2.0124927,2.0699685
4.904915,4.0759525,2.5400088,1.4343406,3.3233826,0.774669,-1.2799264,2.0397317,2.7493477
4.7981133,2.970661,2.3273728,1.4964254,3.344442,1.3051476,0.85483307,2.2701988,2.2237842
5.3452587,3.0282116,2.3423584,1.7791427,3.3357174,1.3168212,-1.7247479,2.1974437,2.0100965
4.6066,1.985253,2.5170324,2.0188768,3.33607,1.0528283,-1.0843115,2.1210618,1.5570177
5.5647826,2.9087408,2.6699805,2.105853,3.2500494,1.2460665,1.2212455,1.7085952,1.3488702
5.664089,2.8084154,2.7013035,2.2635257,3.1662338,1.0934691,1.9030421,1.9830514,0.91319084
4.9516897,2.6731095,2.7279987,2.196351,3.1989708,1.141686,0.53747594,2.2641454,0.8426413
4.8907156,3.132676,2.715625,2.0529363,3.254725,1.2858222,3.4616647,1.810972,0.5775402
5.4998436,2.549907,2.5677373,2.199416,3.2444174,1.3397188,0.4986062,1.8921374,0.8529753
5.449666,3.8162165,2.5288005,2.3221505,3.2279534,1.2281346,1.7411494,2.6122994,1.3884387
5.601125,2.7803788,2.6726007,2.3972735,3.23814,1.4533614,3.1692836,2.1619165,1.85545
5.9105763,3.1947567,2.7156153,2.302308,3.3556943,1.2011884,2.801449,1.548589,1.6368611
6.0517464,2.4983644,2.589357,2.2675793,3.319546,1.2499509,2.613057,1.8719078,2.0156322
5.842779,2.9090075,2.598522,2.149146,3.3819141,1.1018351,3.240474,1.8854346,2.4289136
6.6292095,2.800907,2.7190852,2.5656393,3.407216,1.4209632,0.55993104,2.1319997,2.2782464
6.6537714,3.0770724,2.8297086,2.8161287,3.5451767,1.8774635,1.0595827,2.7109559,2.3950584
7.571427,1.4671069,2.8484032,2.7546113,3.5287857,2.3073688,-0.14391728,2.6417441,2.2297993
8.39495,2.9776378,2.8391573,2.747366,3.5098271,2.7636828,2.8354537,3.4964807,2.3622086
8.638442,2.3637033,2.9507892,2.513583,3.5206065,2.9122996,5.839011,2.5930185,2.0867848
9.097968,2.5565326,2.9326258,2.350046,3.4817455,3.3667552,-1.5354068,2.8881714,2.252059
8.616234,1.9913608,2.9767842,2.947568,3.5994422,3.2176347,0.43943825,3.0277386,2.187215
8.890785,1.9434723,3.1360874,3.5707216,3.6530771,3.1703253,0.0968127,3.1249094,2.640424
8.6640625,3.0073953,3.1171408,3.9234996,3.747478,3.4022725,0.42414486,3.3336895,3.027106
8.747663,2.7914157,3.2084491,4.191985,3.650274,3.3582323,1.8150221,2.7494469,2.699847
8.78406,2.6779087,3.1728508,4.1126122,3.5155444,3.6937718,0.2706496,2.9174507,3.0841663
8.669492,2.7129269,3.139292,4.085162,3.3976126,3.5025885,1.9982295,3.1122577,2.624444
8.25703,2.9711642,3.0308475,4.1555862,3.30217,3.477444,2.5070047,3.2914205,2.7587519
8.492727,1.3882279,3.1329365,4.027258,3.0642743,3.2428737,3.7988925,2.8835921,2.7309015
7.6036353,3.2635717,3.1047652,4.1577306,2.9820013,3.0417502,0.46540475,2.897331,3.036002
8.432181,3.1853664,3.2188535,4.485324,2.7481363,3.5249083,4.4281106,2.7686026,3.676702
7.909574,1.2581513,3.2875276,4.3360496,2.6572394,3.5881639,0.53524023,3.330268,3.5856297
8.135801,2.9860878,3.146543,4.0550513,2.5055861,3.5112584,-0.58827674,2.383165,3.8531954
8.561294,4.134872,3.0346467,3.955328,2.357492,3.297172,4.7038846,2.4415197,3.4043472
8.411724,2.3791828,3.1474192,3.611247,2.3463957,3.0126889,2.1965723,2.7318718,3.1976557
8.483565,2.6323738,3.192894,3.21119,2.2512941,2.7500932,5.601833,3.0021005,2.7301414
8.2176895,2.0152779,2.955559,2.830012,2.122538,2.8104594,1.4549133,2.9360578,3.164206
8.354595,2.6549854,2.9049578,2.353369,1.908806,2.5584126,2.4904003,3.1580389,3.3765683
7.932694,2.300015,3.0584211,2.2611768,2.106245,2.50561,3.6254363,2.7474475,3.417442
8.27228,3.074532,2.9706025,1.8961844,1.9077841,2.2968764,1.5632826,3.1519058,2.9578884
6.952967,3.1114132,2.888464,1.5427498,1.8536538,2.3165424,5.5892277,3.5686429,3.8619978
7.342965,3.295082,3.0524418,1.1388149,2.1552224,2.5254383,-0.063887104,3.3259797,4.292944
7.1093655,3.5683072,3.0173922,1.0501115,2.3176744,2.3944292,2.226947,3.7352328,4.0962777
7.3059177,3.5705984,3.0659273,0.9426746,2.363017,2.6101491,-0.24707058,3.3899763,4.5458746
7.344994,3.490862,2.885109,0.9043745,2.4141107,2.5871625,1.3025522,3.6899712,3.976566
7.4927306,3.0975728,2.7520285,0.99346775,2.4690812,2.9730341,-1.2824683,4.031101,4.1396203
7.3095326,3.4337401,2.76633,1.1014106,2.4901607,3.207224,2.6349432,4.10451,4.0512466
7.6536155,2.69658,2.911404,1.3652933,2.5608256,2.9333806,5.074642,4.1493692,3.7449517
7.9615316,3.064904,2.9101377,1.1421306,2.4632533,2.6683078,0.7554647,3.72022,4.0279965
7.435254,2.3099477,2.994321,1.1176294,2.4192946,2.750316,1.8877044,4.333889,3.8200796
7.788762,2.299961,2.8821418,0.7180866,2.5007792,2.7982798,3.7360544,3.7241457,3.2571158
8.0201645,2.6651287,2.805912,0.9753313,2.671033,2.7237308,4.25982,2.9708858,2.9442
8.593318,2.4951694,2.8468409,0.8680731,2.81313,2.7071552,3.0674973,3.7301831,3.2133536
8.161431,2.282832,2.8043377,0.79473627,2.6789584,2.6062849,0.09739614,5.362252,3.3521798
7.139845,2.6764212,2.6867566,0.40954974,2.7288017,2.5729282,4.5808506,4.2615914,2.9327567
7.373987,1.0420334,2.6361716,0.44396025,2.9799304,2.5048687,3.3911061,4.0312333,2.629163
7.718988,3.3634114,2.6942854,0.8996438,3.0645742,2.2645414,0.06668849,3.9842215,2.740141
7.7059045,2.6689851,2.7219434,1.0787091,3.3077533,2.039691,5.2640624,3.3853917,2.7817445
8.597921,3.20531,2.741375,1.4663069,3.3118367,1.9746307,1.0531576,2.87977,4.7040343
7.5841727,4.039898,2.5313072,1.9361838,3.548315,1.7786387,7.400832,3.717462,2.7779272
7.5279665,2.6962159,2.3719854,1.6481799,3.5948021,1.2509551,2.7209766,3.0861104,1.9360771
7.739247,2.937984,2.2053242,1.6903564,3.5262718,1.9241766,1.2776705,2.7935486,1.9755925
8.0851965,2.628549,2.277676,1.9257209,3.4120002,1.5178689,4.1440425,3.8388429,2.6162422
8.384233,2.930188,2.2633042,1.7494738,3.291882,0.95012385,-1.8479395,3.1503315,2.9014685
7.798795,2.81948,2.227117,2.1777732,3.1521242,1.0148791,2.712764,2.7796683,2.5586357
7.4978204,3.3668063,2.498365,2.5049639,3.0091312,1.0413157,3.479548,2.941861,2.4084935
8.082545,3.3553014,2.294119,2.3745072,3.3600476,1.4084513,4.8746634,3.246163,3.0955389
8.024917,2.791686,2.177102,2.4201815,3.4294395,1.4762819,3.5695724,3.2117217,3.6159556
7.9532275,2.7720544,2.2601461,2.4984863,3.5986786,1.366177,4.064888,3.6604362,3.4892735
