LSTM-EMD,CHM-LSTM-EMD-Freq,CHM-LSTM-DWT,CHM-ESN-DWT,CHM-LSTM-EMD,CHM-ESN-EMD,CHM-ESN-EMD-Freq,LSTM-DWT,ESN-EMD-Freq
9.10475,9.955121,9.539942,9.523868,9.072593,12.40093,9.4247,9.866501,8.794015
8.85753,9.709593,9.543835,9.34509,9.114839,11.939526,8.256351,10.014616,9.098491
9.028369,9.939771,9.631697,9.519339,9.135879,11.607838,9.100446,9.741862,8.72022
8.863959,9.714753,9.697959,9.756572,9.124666,11.4047575,8.327004,10.0009165,9.119192
9.629274,9.569938,9.39039,9.180908,8.98005,11.270139,6.825946,10.135536,8.938127
8.748135,9.530548,9.222958,8.990614,8.893344,10.986565,7.0369344,9.037328,8.869827
8.697152,9.537281,9.101874,9.249711,8.903051,10.738747,8.510301,9.249219,9.08136
9.402714,9.477281,9.216238,9.151007,8.821721,10.297538,7.438942,9.86827,8.891143
8.784051,9.472628,9.296719,9.210444,8.639713,10.000771,10.113511,9.651694,8.876432
9.801318,9.237847,8.945738,9.332766,8.506223,9.989311,9.423457,9.723268,8.743783
8.5398855,9.405683,8.983812,9.34274,8.419033,9.511084,9.545954,9.275246,8.123744
9.906385,9.28367,9.146509,9.36124,8.499228,9.412239,8.75103,9.616965,8.901818
9.362627,9.472415,9.072788,9.542544,8.522978,9.702814,9.6612215,11.032362,7.6516857
9.117805,9.428594,8.819001,8.81833,8.590816,9.285806,8.154069,11.069868,9.090169
8.864413,9.902293,8.789293,8.70753,8.788328,8.771302,9.353441,10.2091255,8.715902
9.179214,9.717415,8.941246,8.7461,8.922121,8.492405,8.398853,8.908113,8.108091
9.089122,9.748905,8.77186,8.521053,8.8291025,8.494245,8.508157,10.039658,8.111115
8.495264,9.782376,9.273029,8.892664,9.06621,7.9050727,8.345158,9.748375,7.87926
9.2369795,9.66758,9.263329,9.047886,9.024226,8.159092,9.093048,10.29511,7.4647117
10.127826,9.605932,9.521516,9.2080965,9.128209,8.448005,9.221309,9.561443,8.220061
9.933151,9.757253,9.556109,8.906274,9.089369,8.347044,8.38407,9.867,9.484639
9.247964,9.604343,9.536293,8.535859,9.038242,8.248836,8.530103,10.369458,8.655805
8.904694,9.778899,9.748074,8.828858,9.171652,8.41172,8.324684,10.474167,9.378669
9.718104,9.506151,9.709279,8.635933,9.199775,8.355404,8.863039,10.70535,9.713638
9.736159,9.516627,9.852161,8.816353,9.166783,8.34826,8.81661,10.408876,9.191403
9.445889,9.794904,9.98066,9.146079,9.163777,8.634256,9.412746,9.8729315,9.429589
9.393032,10.1319065,9.800164,8.651151,9.207682,8.847884,11.245668,9.985649,8.98802
9.954955,9.969282,9.765986,8.76203,9.259988,8.907581,10.604989,10.176208,9.197324
9.618579,9.813438,9.888637,9.088684,9.264925,8.82939,10.588911,9.765834,9.1097975
9.177932,9.935123,9.698044,9.007579,9.219083,8.655499,9.689179,9.796167,9.201396
8.962025,9.71186,9.692688,9.241,9.229977,8.588566,10.375559,9.379213,9.020948
8.883791,10.259909,9.734839,9.308317,9.286049,8.183977,9.455203,10.02453,10.020037
8.64957,9.928855,9.738535,9.080915,9.241049,7.631705,9.477705,9.902417,10.323568
9.151311,10.06034,9.744839,8.95414,9.24476,7.4879923,11.078063,9.616146,10.577645
8.535858,9.9407015,9.755512,9.53684,9.337114,7.2461367,7.6349583,9.1427965,9.958903
8.001009,10.131877,9.743174,9.857269,9.306885,7.267885,9.481805,9.584129,10.207933
8.832033,9.850862,9.718418,10.115584,9.186985,7.375588,7.0279036,10.245264,10.029495
8.562801,9.583197,9.703149,10.482997,9.275555,7.52519,7.9738016,10.165056,10.084361
8.656572,9.680301,9.726987,10.62215,9.398516,7.3615694,9.383035,10.0462675,9.518432
8.37964,9.126413,9.893619,10.966236,9.592485,8.160341,9.168342,9.42524,9.4818945
8.18302,9.950115,9.5683,11.073636,9.594203,8.072223,8.426661,9.620228,9.820087
8.538118,9.430903,9.442297,11.073753,9.573328,7.9472556,8.330779,10.921553,9.6642885
8.214297,9.633917,9.631299,11.318483,9.604391,7.323343,8.441373,9.889587,9.761096
8.7579365,9.70769,9.64805,11.379354,9.415653,6.9688673,7.7567983,10.482488,9.374468
8.352268,9.500978,9.510146,10.886634,9.268109,6.714033,8.846386,9.412077,10.180335
8.152469,9.669729,9.076021,10.349451,9.293408,6.6869416,8.304753,8.9138565,10.618334
8.388997,9.744949,9.252743,10.352635,9.491093,6.993423,9.171487,8.944029,9.7332735
8.622003,9.751051,9.60486,10.205012,9.581148,7.5411825,8.260487,8.937853,9.567433
8.971258,9.59629,9.593613,10.025397,9.590524,7.910556,10.382322,9.929166,9.562741
9.589376,9.26536,9.702391,10.498947,9.613024,7.800644,8.931605,9.422126,9.03825
8.95228,9.297365,9.883155,10.876717,9.554856,7.3716965,9.208382,9.620711,8.972582
9.262402,9.380771,10.292574,11.064683,9.64215,7.3048754,9.402986,9.711036,8.214871
9.2699175,9.290441,10.356756,11.194459,9.607275,7.1960616,8.293094,10.072395,9.657411
8.45761,9.594977,10.639023,11.170608,9.697828,7.2167063,8.907468,9.745419,10.0520525
8.265492,9.589535,10.715112,10.872509,9.830699,7.3506546,8.556955,9.866122,10.783403
9.408656,9.812213,10.776682,10.993044,9.849364,7.413813,8.4669895,10.322312,10.149009
9.499335,9.735097,10.679316,11.102014,10.04487,7.267828,10.405832,10.837251,11.091446
10.672345,9.86856,10.634066,11.019678,10.044902,7.375989,8.64282,11.595027,10.205692
9.852272,9.9417095,10.802716,11.317134,10.100045,7.521289,12.207125,11.359768,10.742599
9.546392,10.010634,10.812292,11.224052,10.155186,7.5717573,10.245664,11.465461,10.681224
9.410305,10.316422,10.862472,11.086851,10.127587,7.675212,9.488468,10.975098,10.520463
8.897722,9.559575,11.033799,11.187354,10.2038555,7.6536503,7.7472706,10.738693,10.520814
9.329062,9.380406,10.798365,10.756027,10.118536,7.4698224,7.549795,10.884234,10.362531
9.914335,9.618363,10.461796,10.269196,10.039619,7.3054376,7.7552376,10.548534,10.442569
9.937057,9.42873,10.626917,10.602803,10.19705,7.2602124,9.36109,10.672193,9.921466
9.901451,9.313976,10.875711,11.143891,10.23187,7.302319,8.071989,11.094541,9.424358
10.210051,8.9773035,10.718321,10.664174,10.129548,7.338157,8.456203,11.2488165,8.96883
10.441242,9.438309,10.430596,10.326287,10.091459,7.416197,5.5650396,10.434945,9.345465
9.888866,8.846478,10.654957,10.242788,10.146609,7.452737,7.774473,9.651828,8.248854
9.713972,9.039907,10.972132,10.496427,10.144772,7.515244,8.683338,9.936607,8.963144
9.916256,8.961816,10.903825,10.859322,10.084296,7.4764495,9.026428,10.328575,8.804361
9.946893,8.92095,10.736801,11.096164,10.168656,7.530787,8.74069,10.1688,9.251428
9.77559,8.888132,10.688227,11.432376,10.249418,7.896705,9.5132,10.136024,9.854258
9.706331,10.2077265,10.703229,11.656106,10.474732,7.948426,10.767313,10.124201,10.001606
9.885208,9.389546,10.702379,11.901347,10.498063,7.866556,9.13333,10.142903,9.947856
10.110312,9.528876,10.826186,12.316279,10.464684,7.989301,10.772664,10.3946,10.013724
